Nomor,Perguruan Tinggi,Program Studi,Strata,Wilayah,No. SK,Lembaga Akreditasi,Peringkat,Tanggal Kedaluwarsa,Status Kedaluwarsa
1,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Pariwisata Syariah,S1,PTAN,6744/SK/BAN-PT/Ak/S/VI/2026,BAN-PT,Baik Sekali,2031-06-09,Masih berlaku
2,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Hukum Keluarga Islam,S2,PTAN,6488/SK/BAN-PT/Ak/M/V/2026,BAN-PT,Unggul,2031-05-05,Masih berlaku
3,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tasawuf Psikoterapi,S1,PTAN,6262/SK/BAN-PT/Ak/S/III/2026,BAN-PT,Unggul,2031-03-31,Masih berlaku
4,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Manajemen Dakwah,S1,PTAN,420/SK/BAN-PT/Ak/S/III/2026,BAN-PT,Unggul,2031-03-10,Masih berlaku
5,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Ilmu Al-Qur`an Dan Tafsir,S2,PTAN,317/SK/BAN-PT/Ak/M/III/2026,BAN-PT,Baik Sekali,2031-03-03,Masih berlaku
6,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Ilmu Al-Qur`an Dan Tafsir,S1,PTAN,255/SK/BAN-PT/Ak/S/II/2026,BAN-PT,Unggul,2031-02-24,Masih berlaku
7,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tadris Kimia,S1,PTAN,60/SK/LAMDIK/Ak/S/I/2026,LAMDIK,Baik Sekali,2031-01-20,Masih berlaku
8,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Aqidah Dan Filsafat Islam,S1,PTAN,10731/SK/BAN-PT/Ak-PPJ/S/IX/2025,BAN-PT,B,2025-09-13,Masih berlaku
9,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Sosiologi Agama,S1,PTAN,10740/SK/BAN-PT/Ak-PPJ/S/IX/2025,BAN-PT,B,2025-09-13,Masih berlaku
10,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Komunikasi Dan Penyiaran Islam,S1,PTAN,10741/SK/BAN-PT/Ak-PPJ/S/IX/2025,BAN-PT,B,2025-09-13,Masih berlaku
11,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Bahasa Dan Sastra Arab,S1,PTAN,10733/SK/BAN-PT/Ak-PPJ/S/IX/2025,BAN-PT,B,2025-09-13,Masih berlaku
12,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Manajemen Keuangan Syariah,S1,PTAN,793/DE/A.5/AR.10/X/2025,LAMEMBA,Baik Sekali,2030-10-24,Masih berlaku
13,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Tadris Fisika,S1,PTAN,998/SK/LAMDIK/Ak/S/X/2025,LAMDIK,Unggul,2030-10-22,Masih berlaku
14,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Hukum Ekonomi Syariah (Muamalah),S2,PTAN,9933/SK/BAN-PT/Ak-PPJ/M/VIII/2025,BAN-PT,B,2025-08-11,Masih berlaku
15,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Pendidikan Agama Islam,S3,PTAN,8954/SK/BAN-PT/Ak-PPJ/S3/VII/2025,BAN-PT,B,2025-07-02,Masih berlaku
16,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S3,PTAN,8955/SK/BAN-PT/Ak-PPJ/S3/VII/2025,BAN-PT,B,2025-07-02,Masih berlaku
17,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,741/SK/BAN-PT/Ak/S/V/2025,BAN-PT,Unggul,2030-05-20,Masih berlaku
18,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Manajemen Bisnis Syariah,S1,PTAN,255/DE/A.5/AR.10/IV/2025,LAMEMBA,Unggul,2030-04-25,Masih berlaku
19,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Pendidikan Profesi Guru,Profesi,PTAN,349/SK/LAMDIK/Ak/P/III/2025,LAMDIK,Unggul,2030-03-25,Masih berlaku
